energy[keV],transmission,transmission_lb,transmission_ub
1.00000,0.00000,0.00000,1.96182e-44
1.10000,3.26451e-36,5.48922e-38,1.94145e-34
1.20000,1.24709e-28,5.01987e-30,3.09815e-27
1.30000,3.76379e-23,2.84714e-24,4.97560e-22
1.40000,4.45397e-19,5.38500e-20,3.68392e-18
1.50000,6.29603e-16,1.09401e-16,3.62338e-15
1.60000,0.00000,0.00000,0.00000
1.70000,0.00000,0.00000,0.00000
1.80000,0.00000,0.00000,0.00000
1.90000,0.00000,0.00000,0.00000
2.00000,0.00000,0.00000,0.00000
2.10000,0.00000,0.00000,0.00000
2.20000,0.00000,0.00000,0.00000
2.30000,0.00000,0.00000,0.00000
2.40000,0.00000,0.00000,0.00000
2.50000,0.00000,0.00000,0.00000
2.60000,2.80260e-45,0.00000,5.59118e-43
2.70000,6.50146e-41,6.36190e-43,6.64304e-39
2.80000,3.65219e-37,5.50408e-39,2.42340e-35
2.90000,7.37294e-34,1.62564e-35,3.34395e-32
3.00000,6.31814e-31,1.95264e-32,2.04438e-29
3.10000,2.49118e-28,1.03806e-29,5.97840e-27
3.20000,5.05443e-26,2.74699e-27,9.30013e-25
3.30000,5.78149e-24,3.98238e-25,8.39343e-23
3.40000,4.02239e-22,3.42539e-23,4.72347e-21
3.50000,1.81515e-20,1.87008e-21,1.76185e-19
3.60000,5.60636e-19,6.85672e-20,4.58403e-18
3.70000,1.24029e-17,1.77093e-18,8.68656e-17
3.80000,2.04202e-16,3.35400e-17,1.24324e-15
3.90000,2.58802e-15,4.82634e-16,1.38778e-14
4.00000,2.59994e-14,5.44143e-15,1.24227e-13
4.10000,2.12213e-13,4.93299e-14,9.12920e-13
4.20000,1.43745e-12,3.67682e-13,5.61970e-12
4.30000,8.34173e-12,2.32981e-12,2.98671e-11
4.40000,4.19408e-11,1.26990e-11,1.38518e-10
4.50000,1.84062e-10,6.00085e-11,5.64567e-10
4.60000,7.13899e-10,2.49069e-10,2.04623e-09
4.70000,2.47419e-09,9.18556e-10,6.66442e-09
4.80000,7.91477e-09,3.11430e-09,2.01149e-08
4.90000,2.30552e-08,9.56991e-09,5.55432e-08
5.00000,6.16310e-08,2.68714e-08,1.41355e-07
5.10000,1.53725e-07,7.01587e-08,3.36827e-07
5.20000,3.61160e-07,1.72022e-07,7.58254e-07
5.30000,7.93390e-07,3.93063e-07,1.60145e-06
5.40000,1.65074e-06,8.48325e-07,3.21214e-06
5.50000,3.28678e-06,1.74828e-06,6.17920e-06
5.60000,6.20311e-06,3.40597e-06,1.12974e-05
5.70000,1.12738e-05,6.37783e-06,1.99281e-05
5.80000,1.97146e-05,1.14691e-05,3.38883e-05
5.90000,3.30506e-05,1.97305e-05,5.53631e-05
6.00000,5.41846e-05,3.31566e-05,8.85486e-05
6.10000,8.55086e-05,5.35317e-05,0.000136587
6.20000,0.000131751,8.42834e-05,0.000205952
6.30000,0.000197495,0.000128924,0.000302538
6.40000,0.000288683,0.000192063,0.000433911
6.50000,0.000413917,0.000280388,0.000611037
6.60000,0.000578786,0.000398698,0.000840218
6.70000,0.000798245,0.000558783,0.00114033
6.80000,0.00107490,0.000763727,0.00151287
6.90000,0.00143289,0.00103282,0.00198794
7.00000,0.00186856,0.00136484,0.00255818
7.10000,0.00241726,0.00178851,0.00326707
7.20000,0.00306653,0.00229604,0.00409558
7.30000,0.00386318,0.00292612,0.00510033
7.40000,0.00478580,0.00366398,0.00625111
7.50000,0.00588870,0.00455533,0.00761234
7.60000,0.00714661,0.00558219,0.00914945
7.70000,0.00861050,0.00678860,0.0109214
7.80000,0.0102645,0.00816403,0.0129054
