energy (keV),transmission
1.00000,2.96042e-23
1.10000,4.19683e-18
1.20000,2.07495e-14
1.30000,1.08266e-11
1.40000,1.22650e-09
1.50000,4.47669e-08
1.60000,6.71915e-08
1.70000,8.55799e-07
1.80000,6.68068e-06
1.90000,3.56392e-05
2.00000,0.000139861
2.10000,0.000437185
2.20000,0.00113750
2.30000,0.00253830
2.40000,0.00504092
2.50000,0.00902435
2.60000,0.0149149
2.70000,0.0230199
2.80000,0.0335092
2.90000,0.0465205
3.00000,0.0620966
3.10000,0.0800270
3.20000,0.100113
3.30000,0.122093
3.40000,0.145676
3.50000,0.170565
3.60000,0.196458
3.70000,0.223056
3.80000,0.250079
3.90000,0.277274
4.00000,0.304405
4.10000,0.331260
4.20000,0.357675
4.30000,0.383695
4.40000,0.409136
4.50000,0.433792
4.60000,0.457582
4.70000,0.480441
4.80000,0.502787
4.90000,0.524157
5.00000,0.544525
5.10000,0.564102
5.20000,0.582967
5.30000,0.600833
5.40000,0.617907
5.50000,0.634348
5.60000,0.649834
5.70000,0.664708
5.80000,0.678890
5.90000,0.692219
6.00000,0.705190
6.10000,0.717327
6.20000,0.728998
6.30000,0.740063
6.40000,0.750560
6.50000,0.760641
6.60000,0.770109
6.70000,0.779284
6.80000,0.787840
6.90000,0.796185
7.00000,0.803938
7.10000,0.811524
7.20000,0.818568
7.30000,0.825457
7.40000,0.831873
7.50000,0.838126
7.60000,0.843988
7.70000,0.849658
7.80000,0.855025
7.90000,0.860161
8.00000,0.865089
8.10000,0.869737
8.20000,0.874275
8.30000,0.878509
8.40000,0.882667
8.50000,0.886579
8.60000,0.890337
8.70000,0.893960
8.80000,0.897351
8.90000,0.900714
9.00000,0.903866
9.10000,0.906898
9.20000,0.909834
9.30000,0.912591
9.40000,0.915305
9.50000,0.917880
9.60000,0.920321
9.70000,0.922734
9.80000,0.925005
9.90000,0.927190
10.0000,0.929324
10.1000,0.931336
10.2000,0.933291
10.3000,0.935189
10.4000,0.936981
10.5000,0.938730
10.6000,0.940423
10.7000,0.942024
10.8000,0.943587
10.9000,0.945103
11.0000,0.946540
11.1000,0.947936
11.2000,0.949300
11.3000,0.950594
11.4000,0.951839
11.5000,0.953070
11.6000,0.954240
11.7000,0.955353
11.8000,0.956465
11.9000,0.957526
12.0000,0.958536
12.1000,0.959527
12.2000,0.960492
12.3000,0.961412
12.4000,0.962294
12.5000,0.963174
12.6000,0.964014
12.7000,0.964817
12.8000,0.965602
12.9000,0.966372
13.0000,0.967108
13.1000,0.967813
13.2000,0.968513
13.3000,0.969189
13.4000,0.969837
13.5000,0.970458
13.6000,0.971081
13.7000,0.971678
13.8000,0.972251
13.9000,0.972804
14.0000,0.973356
14.1000,0.973885
14.2000,0.974394
14.3000,0.974885
14.4000,0.975376
14.5000,0.975848
14.6000,0.976302
14.7000,0.976739
14.8000,0.977177
14.9000,0.977599
15.0000,0.978006
15.1000,0.978398
15.2000,0.978788
15.3000,0.979168
15.4000,0.979534
15.5000,0.979888
15.6000,0.980234
15.7000,0.980576
15.8000,0.980906
15.9000,0.981226
16.0000,0.981534
16.1000,0.981841
16.2000,0.982140
16.3000,0.982429
16.4000,0.982708
16.5000,0.982980
16.6000,0.983251
16.7000,0.983513
16.8000,0.983767
16.9000,0.984013
17.0000,0.984254
17.1000,0.984492
17.2000,0.984723
17.3000,0.984947
17.4000,0.985165
17.5000,0.985378
17.6000,0.985589
17.7000,0.985793
17.8000,0.985992
17.9000,0.986185
18.0000,0.986374
18.1000,0.986561
18.2000,0.986742
18.3000,0.986919
18.4000,0.987091
18.5000,0.987259
18.6000,0.987425
18.7000,0.987586
18.8000,0.987744
18.9000,0.987897
19.0000,0.988047
19.1000,0.988195
19.2000,0.988339
19.3000,0.988480
19.4000,0.988617
19.5000,0.988752
19.6000,0.988882
19.7000,0.989009
19.8000,0.989133
19.9000,0.989254
20.0000,0.989372
20.1000,0.989488
20.2000,0.989605
20.3000,0.989722
20.4000,0.989835
20.5000,0.989946
20.6000,0.990055
20.7000,0.990161
20.8000,0.990266
20.9000,0.990368
21.0000,0.990469
21.1000,0.990567
21.2000,0.990663
21.3000,0.990757
21.4000,0.990849
21.5000,0.990940
21.6000,0.991028
21.7000,0.991115
21.8000,0.991200
21.9000,0.991284
22.0000,0.991366
22.1000,0.991446
22.2000,0.991525
22.3000,0.991602
22.4000,0.991678
22.5000,0.991752
22.6000,0.991825
22.7000,0.991896
22.8000,0.991966
22.9000,0.992035
23.0000,0.992103
23.1000,0.992169
23.2000,0.992235
23.3000,0.992298
23.4000,0.992361
23.5000,0.992422
23.6000,0.992483
23.7000,0.992542
23.8000,0.992600
23.9000,0.992658
24.0000,0.992714
24.1000,0.992769
24.2000,0.992823
24.3000,0.992876
24.4000,0.992928
24.5000,0.992980
24.6000,0.993030
24.7000,0.993080
24.8000,0.993128
24.9000,0.993176
25.0000,0.993223
25.1000,0.993269
25.2000,0.993315
25.3000,0.993360
25.4000,0.993403
25.5000,0.993446
25.6000,0.993489
25.7000,0.993530
25.8000,0.993572
25.9000,0.993612
26.0000,0.993652
26.1000,0.993691
26.2000,0.993729
26.3000,0.993766
26.4000,0.993803
26.5000,0.993840
26.6000,0.993876
26.7000,0.993912
26.8000,0.993946
26.9000,0.993980
27.0000,0.994014
27.1000,0.994047
27.2000,0.994079
27.3000,0.994111
27.4000,0.994143
27.5000,0.994174
27.6000,0.994205
27.7000,0.994235
27.8000,0.994264
