energy[keV],transmission,transmission_lb,transmission_ub
1.00000,2.00353e-18,2.61149e-19,1.53712e-17
1.10000,2.24630e-14,4.66705e-15,1.08117e-13
1.20000,1.85205e-11,5.38315e-12,6.37193e-11
1.30000,2.37269e-09,8.79031e-10,6.40442e-09
1.40000,8.74633e-08,3.88077e-08,1.97122e-07
1.50000,1.42393e-06,7.26377e-07,2.79134e-06
1.60000,0.00000,0.00000,0.00000
1.70000,0.00000,0.00000,0.00000
1.80000,9.80909e-45,0.00000,1.56525e-42
1.90000,3.33768e-39,3.97759e-41,2.80076e-37
2.00000,1.30881e-34,2.64681e-36,6.47196e-33
2.10000,1.11613e-30,3.54896e-32,3.51017e-29
2.20000,2.71958e-27,1.27712e-28,5.79135e-26
2.30000,2.13429e-24,1.39868e-25,3.25681e-23
2.40000,6.94204e-22,6.07522e-23,7.93257e-21
2.50000,1.01114e-19,1.13515e-20,9.00681e-19
2.60000,7.82979e-18,1.09254e-18,5.61129e-17
2.70000,3.49516e-16,5.89716e-17,2.07155e-15
2.80000,9.67383e-15,1.92698e-15,4.85645e-14
2.90000,1.80628e-13,4.16510e-14,7.83334e-13
3.00000,2.42573e-12,6.36921e-13,9.23849e-12
3.10000,2.41675e-11,7.11861e-12,8.20486e-11
3.20000,1.86485e-10,6.08381e-11,5.71625e-10
3.30000,1.15431e-09,4.12515e-10,3.23004e-09
3.40000,5.90141e-09,2.28825e-09,1.52198e-08
3.50000,2.55431e-08,1.06571e-08,6.12225e-08
3.60000,9.55569e-08,4.25869e-08,2.14412e-07
3.70000,3.14419e-07,1.48725e-07,6.64713e-07
3.80000,9.23438e-07,4.60976e-07,1.84986e-06
3.90000,2.45247e-06,1.28553e-06,4.67868e-06
4.00000,5.95643e-06,3.26389e-06,1.08702e-05
4.10000,1.33561e-05,7.62019e-06,2.34098e-05
4.20000,2.78758e-05,1.65002e-05,4.70942e-05
4.30000,5.48207e-05,3.35654e-05,8.95360e-05
4.40000,0.000102025,6.44380e-05,0.000161537
4.50000,0.000180200,0.000117096,0.000277311
4.60000,0.000303507,0.000202431,0.000455051
4.70000,0.000489533,0.000334404,0.000716627
4.80000,0.000765623,0.000534830,0.00109601
4.90000,0.00115506,0.000823633,0.00161985
5.00000,0.00168596,0.00122515,0.00232009
5.10000,0.00239617,0.00177212,0.00323997
5.20000,0.00332807,0.00250209,0.00442673
5.30000,0.00450452,0.00343820,0.00590156
5.40000,0.00597077,0.00462202,0.00771309
5.50000,0.00778154,0.00610407,0.00992002
5.60000,0.00993477,0.00788889,0.0125112
5.70000,0.0125011,0.0100415,0.0155633
5.80000,0.0154990,0.0125840,0.0190892
5.90000,0.0189063,0.0155038,0.0230556
6.00000,0.0228656,0.0189296,0.0276200
6.10000,0.0272514,0.0227593,0.0326302
6.20000,0.0321809,0.0271005,0.0382136
6.30000,0.0376023,0.0319136,0.0443051
6.40000,0.0435135,0.0372010,0.0508971
6.50000,0.0499819,0.0430282,0.0580593
6.60000,0.0568610,0.0492669,0.0656257
