Energy,data with bkg (ct flux),bkg (flux),data-bkg (flux)
4.70421,0.161618,0.0118987,0.149720
5.63262,1.05587,0.0547547,1.00112
6.53824,1.84830,0.0643196,1.78398
7.42565,2.09542,0.0798905,2.01553
8.29946,1.91091,0.101473,1.80943
9.16425,1.56180,0.131372,1.43043
10.0246,1.31312,0.165245,1.14788
10.9717,0.998213,0.191702,0.806511
12.0123,0.700722,0.223876,0.476846
13.0683,0.517412,0.242063,0.275349
14.1477,0.369330,0.236685,0.132645
15.2562,0.316392,0.241683,0.0747093
16.3923,0.267316,0.235868,0.0314476
17.5499,0.242068,0.238150,0.00391715
18.8205,0.225825,0.223673,0.00215244
20.1976,0.204749,0.202063,0.00268640
21.5813,0.200755,0.204347,-0.00359185
22.9804,0.182921,0.188487,-0.00556642
24.4092,0.176410,0.176886,-0.000475300
25.8826,0.149772,0.153512,-0.00374001
27.5301,0.135181,0.139372,-0.00419143
29.3801,0.124039,0.128497,-0.00445773
31.3498,0.112045,0.112379,-0.000334765
33.3489,0.0945598,0.0981410,-0.00358120
35.0437,0.109758,0.108445,0.00131287
36.5663,0.0860785,0.0882871,-0.00220869
38.2031,0.0733148,0.0752787,-0.00196388
39.8748,0.0633981,0.0621314,0.00126669
41.5797,0.0566307,0.0572670,-0.000636341
43.4140,0.0504583,0.0527653,-0.00230696
45.3794,0.0454007,0.0486843,-0.00328355
47.3789,0.0431735,0.0441341,-0.000960656
49.4099,0.0435226,0.0440688,-0.000546181
51.5744,0.0408645,0.0424045,-0.00154003
53.8728,0.0392048,0.0381631,0.00104173
56.2001,0.0355570,0.0363988,-0.000841877
58.5532,0.0347014,0.0335320,0.00116943
61.0379,0.0319218,0.0337774,-0.00185559
63.6524,0.0339982,0.0348378,-0.000839581
66.2857,0.0324347,0.0354810,-0.00304628
69.0443,0.0314643,0.0334322,-0.00196787
71.9246,0.0281377,0.0277466,0.000391066
74.8117,0.0251119,0.0237860,0.00132589
77.8110,0.0221115,0.0215375,0.000573974
80.9167,0.0211409,0.0219825,-0.000841628
84.0124,0.0201912,0.0206360,-0.000444776
87.2062,0.0186543,0.0178283,0.000826027
90.4985,0.0180443,0.0175013,0.000543009
93.7806,0.0160589,0.0175517,-0.00149283
97.1629,0.0157373,0.0158604,-0.000123112
100.647,0.0150780,0.0135412,0.00153684
104.125,0.0138465,0.0134244,0.000422027
107.708,0.0130622,0.0135709,-0.000508693
111.398,0.0119253,0.0119556,-3.03126e-05
115.198,0.0115826,0.0116108,-2.81981e-05
119.109,0.0111935,0.0114242,-0.000230641
123.137,0.0106643,0.0105579,0.000106386
127.282,0.00999832,0.00882144,0.00117689
131.545,0.00915952,0.00877454,0.000384982
135.929,0.00830893,0.00867764,-0.000368713
140.322,0.00809352,0.00775825,0.000335273
144.836,0.00798169,0.00790726,7.44326e-05
149.471,0.00769589,0.00765725,3.86475e-05
154.228,0.00703578,0.00667240,0.000363375
159.218,0.00635315,0.00658948,-0.000236333
164.332,0.00608797,0.00569555,0.000392424
169.570,0.00602245,0.00565702,0.000365429
174.934,0.00558779,0.00567984,-9.20501e-05
180.424,0.00610604,0.00583288,0.000273156
186.040,0.00590322,0.00562681,0.000276409
191.784,0.00557157,0.00520170,0.000369868
197.770,0.00516019,0.00470997,0.000450218
203.885,0.00438031,0.00451098,-0.000130667
210.130,0.00397662,0.00383253,0.000144083
216.620,0.00334091,0.00352779,-0.000186885
