FERMI GBM data for time interval: 17-Apr-2024 21:50:03.141 to 17-Apr-2024 22:28:10.988
Current time: 18-Jul-2024 16:39:49.00
Data units: Flux
Energies are binned into spex_eband bins(3 bins)

     Time at center of bin      5.00-10.0      10.0-20.0      20.0-30.0
                                      kev            kev            kev

  17-Apr-2024 21:50:03.141       0.086655        0.23694        0.16633
  17-Apr-2024 21:50:07.237       0.098086        0.22516        0.17063
  17-Apr-2024 21:50:11.334       0.083570        0.22967        0.16830
  17-Apr-2024 21:50:15.430       0.078298        0.23655        0.16831
  17-Apr-2024 21:50:19.526       0.087538        0.22518        0.17335
  17-Apr-2024 21:50:23.622       0.084007        0.21770        0.17045
  17-Apr-2024 21:50:27.718       0.084456        0.22341        0.16526
  17-Apr-2024 21:50:31.814       0.079175        0.22537        0.17962
  17-Apr-2024 21:50:35.910       0.083567        0.21790        0.16506
  17-Apr-2024 21:50:40.006       0.080486        0.23142        0.16541
  17-Apr-2024 21:50:44.102       0.080051        0.23536        0.16291
  17-Apr-2024 21:50:48.198       0.076530        0.23143        0.16057
  17-Apr-2024 21:50:52.294       0.091477        0.22710        0.16684
  17-Apr-2024 21:50:56.390       0.080932        0.22281        0.15770
  17-Apr-2024 21:51:00.486       0.089723        0.22338        0.16380
  17-Apr-2024 21:51:04.582       0.086217        0.23146        0.17262
  17-Apr-2024 21:51:08.678       0.087528        0.22457        0.17332
  17-Apr-2024 21:51:12.774       0.077862        0.22382        0.17066
  17-Apr-2024 21:51:16.871       0.080060        0.23440        0.16814
  17-Apr-2024 21:51:20.967       0.083127        0.21986        0.17422
  17-Apr-2024 21:51:25.063       0.076974        0.21791        0.17028
  17-Apr-2024 21:51:29.159       0.091051        0.22870        0.16687
  17-Apr-2024 21:51:33.255       0.085776        0.23498        0.17029
  17-Apr-2024 21:51:37.351       0.090613        0.23047        0.17567
  17-Apr-2024 21:51:41.447       0.095010        0.22890        0.16615
  17-Apr-2024 21:51:45.543       0.078285        0.22573        0.15445
  17-Apr-2024 21:51:49.639       0.078733        0.22379        0.16686
  17-Apr-2024 21:51:53.735       0.084448        0.21829        0.15985
  17-Apr-2024 21:51:57.831       0.092811        0.23164        0.16579
  17-Apr-2024 21:52:01.927       0.079603        0.22514        0.16487
  17-Apr-2024 21:52:06.023       0.087526        0.22162        0.15913
  17-Apr-2024 21:52:10.119       0.081375        0.22262        0.18501
  17-Apr-2024 21:52:14.215       0.084890        0.21535        0.16345
  17-Apr-2024 21:52:18.311       0.084896        0.22537        0.17891
  17-Apr-2024 21:52:22.408       0.085769        0.21771        0.17027
  17-Apr-2024 21:52:26.504       0.082253        0.22615        0.16723
  17-Apr-2024 21:52:30.600       0.087095        0.22027        0.17603
  17-Apr-2024 21:52:34.696       0.076980        0.22675        0.16688
  17-Apr-2024 21:52:38.792       0.079604        0.21376        0.16361
  17-Apr-2024 21:52:42.888       0.090610        0.23340        0.16830
  17-Apr-2024 21:52:46.984       0.088848        0.23026        0.16399
  17-Apr-2024 21:52:51.080       0.089721        0.22122        0.15841
  17-Apr-2024 21:52:55.176       0.085780        0.23166        0.17227
  17-Apr-2024 21:52:59.272       0.086203        0.21436        0.16451
  17-Apr-2024 21:53:03.368       0.083127        0.21985        0.15751
  17-Apr-2024 21:53:07.464       0.085770        0.22320        0.16884
  17-Apr-2024 21:53:11.560       0.089724        0.22123        0.16865
  17-Apr-2024 21:53:15.656        0.10160        0.22182        0.15914
  17-Apr-2024 21:53:19.752       0.085769        0.22398        0.16273
  17-Apr-2024 21:53:23.848       0.091049        0.22771        0.16489
  17-Apr-2024 21:53:27.944       0.089284        0.21476        0.16308
  17-Apr-2024 21:53:32.041       0.086644        0.21416        0.16667
  17-Apr-2024 21:53:36.137       0.083129        0.21456        0.16273
  17-Apr-2024 21:53:40.233       0.081370        0.22065        0.16524
  17-Apr-2024 21:53:44.329       0.089295        0.21949        0.17082
  17-Apr-2024 21:53:48.425       0.096338        0.22695        0.17335
  17-Apr-2024 21:53:52.521       0.087536        0.23440        0.17226
  17-Apr-2024 21:53:56.617       0.081804        0.21475        0.16362
  17-Apr-2024 21:54:00.713       0.091495        0.22989        0.16921
  17-Apr-2024 21:54:04.809       0.099410        0.22753        0.16525
  17-Apr-2024 21:54:08.905        0.10293        0.21733        0.16346
  17-Apr-2024 21:54:13.001        0.10116        0.23496        0.16309
  17-Apr-2024 21:54:17.097       0.085329        0.22692        0.17243
  17-Apr-2024 21:54:21.193       0.084896        0.23165        0.17891
  17-Apr-2024 21:54:25.289       0.095002        0.23025        0.15698
  17-Apr-2024 21:54:29.385       0.098535        0.22930        0.16957
  17-Apr-2024 21:54:33.481       0.088418        0.22499        0.18107
  17-Apr-2024 21:54:37.578       0.087099        0.22734        0.17604
  17-Apr-2024 21:54:41.674       0.096323        0.22280        0.17009
  17-Apr-2024 21:54:45.770       0.090610        0.22261        0.17495
  17-Apr-2024 21:54:49.866       0.091053        0.23439        0.17657
  17-Apr-2024 21:54:53.962       0.099840        0.22025        0.16416
  17-Apr-2024 21:54:58.058        0.10338        0.22029        0.17102
  17-Apr-2024 21:55:02.154        0.10117        0.22832        0.17245
  17-Apr-2024 21:55:06.250        0.10161        0.22302        0.17657
  17-Apr-2024 21:55:10.346        0.10512        0.22810        0.16129
  17-Apr-2024 21:55:14.442        0.11172        0.22222        0.16722
  17-Apr-2024 21:55:18.538       0.098534        0.22871        0.16993
  17-Apr-2024 21:55:22.634        0.12185        0.22441        0.17533
  17-Apr-2024 21:55:26.730        0.10866        0.23579        0.16761
  17-Apr-2024 21:55:30.826       0.097206        0.22594        0.16058
  17-Apr-2024 21:55:34.922        0.11392        0.23105        0.16561
  17-Apr-2024 21:55:39.018        0.10336        0.22653        0.16524
  17-Apr-2024 21:55:43.115       0.094567        0.21928        0.15591
  17-Apr-2024 21:55:47.211        0.10337        0.23634        0.17136
  17-Apr-2024 21:55:51.307        0.12185        0.23460        0.16796
  17-Apr-2024 21:55:55.403        0.11129        0.23970        0.16365
  17-Apr-2024 21:55:59.499        0.11921        0.23361        0.16095
  17-Apr-2024 21:56:03.595        0.14209        0.22049        0.18000
  17-Apr-2024 21:56:07.691        0.10953        0.22654        0.16202
  17-Apr-2024 21:56:11.787        0.10908        0.22320        0.16434
  17-Apr-2024 21:56:15.883        0.10380        0.22711        0.16165
  17-Apr-2024 21:56:19.979        0.10732        0.22967        0.17117
  17-Apr-2024 21:56:24.075        0.10600        0.21732        0.16129
  17-Apr-2024 21:56:28.171        0.10206        0.23795        0.17461
  17-Apr-2024 21:56:32.267        0.11215        0.21690        0.15158
  17-Apr-2024 21:56:36.363        0.11084        0.21888        0.15931
  17-Apr-2024 21:56:40.459        0.10732        0.22928        0.15950
  17-Apr-2024 21:56:44.555        0.10204        0.22652        0.15895
  17-Apr-2024 21:56:48.652        0.12097        0.24362        0.16347
  17-Apr-2024 21:56:52.748        0.11128        0.21888        0.15410
  17-Apr-2024 21:56:56.844        0.11305        0.22596        0.16921
  17-Apr-2024 21:57:00.940        0.11349        0.23656        0.17263
  17-Apr-2024 21:57:05.036        0.12493        0.22851        0.17137
  17-Apr-2024 21:57:09.132        0.11437        0.22479        0.16364
  17-Apr-2024 21:57:13.228        0.12624        0.23616        0.16418
  17-Apr-2024 21:57:17.324        0.13505        0.24637        0.16688
  17-Apr-2024 21:57:21.420        0.12053        0.25324        0.15826
  17-Apr-2024 21:57:25.516        0.12537        0.23715        0.16293
  17-Apr-2024 21:57:29.612        0.12581        0.24342        0.17155
  17-Apr-2024 21:57:33.708        0.13855        0.22476        0.16470
  17-Apr-2024 21:57:37.804        0.13065        0.24050        0.16132
  17-Apr-2024 21:57:41.900        0.13020        0.23498        0.15825
  17-Apr-2024 21:57:45.996        0.13461        0.24362        0.16239
  17-Apr-2024 21:57:50.092        0.14077        0.23265        0.16958
  17-Apr-2024 21:57:54.189        0.12712        0.23674        0.16166
  17-Apr-2024 21:57:58.285        0.14779        0.23752        0.16740
  17-Apr-2024 21:58:02.381        0.15264        0.23127        0.16778
  17-Apr-2024 21:58:06.477        0.13284        0.23047        0.16472
  17-Apr-2024 21:58:10.573        0.13770        0.24227        0.17551
  17-Apr-2024 21:58:14.669        0.13108        0.22930        0.15340
  17-Apr-2024 21:58:18.765        0.14164        0.23852        0.16059
  17-Apr-2024 21:58:22.861        0.14384        0.24401        0.15610
  17-Apr-2024 21:58:26.957        0.14648        0.22361        0.16382
  17-Apr-2024 21:58:31.053        0.13812        0.22537        0.16705
  17-Apr-2024 21:58:35.149        0.13327        0.22085        0.16309
  17-Apr-2024 21:58:39.245        0.14295        0.22007        0.16363
  17-Apr-2024 21:58:43.341        0.13899        0.23399        0.16291
  17-Apr-2024 21:58:47.437        0.12713        0.22989        0.17226
  17-Apr-2024 21:58:51.533        0.13284        0.22654        0.16597
  17-Apr-2024 21:58:55.629        0.12625        0.22538        0.17316
  17-Apr-2024 21:58:59.726        0.15044        0.24284        0.15790
  17-Apr-2024 21:59:03.822        0.16233        0.23305        0.17156
  17-Apr-2024 21:59:07.918        0.16453        0.25012        0.16528
  17-Apr-2024 21:59:12.014        0.16365        0.23540        0.17048
