Energy,photon flux (data),photon flux (model)
4.70421,1651.29,3917.54
5.63262,1588.25,1368.62
6.53824,1407.74,1229.66
7.42565,291.925,278.059
8.29946,88.4575,89.1613
9.16425,29.7925,32.2755
10.0246,12.7582,13.3737
10.9717,5.03947,5.15121
12.0123,1.75665,1.81478
13.0683,0.652321,0.633405
14.1477,0.218186,0.217654
15.2562,0.0919720,0.0733806
16.3923,0.0299081,0.0241242
17.5499,0.00297037,0.00781995
18.8205,0.00130275,0.00230009
20.1976,0.00131712,0.000603729
21.5813,-0.00148224,0.000160970
22.9804,-0.00193686,4.23563e-05
24.4092,-0.000139175,1.07754e-05
25.8826,-0.000904971,2.62483e-06
27.5301,-0.000822214,5.60245e-07
29.3801,-0.000698410,9.81413e-08
31.3498,-4.11686e-05,1.52732e-08
33.3489,-0.000363871,2.28780e-09
35.0437,0.000121957,4.58825e-10
36.5663,-0.000181014,1.11998e-10
38.2031,-0.000144150,2.45153e-11
39.8748,8.52195e-05,5.18628e-12
41.5797,-3.74449e-05,1.06186e-12
43.4140,-0.000104681,1.92631e-13
45.3794,-0.000118436,3.07738e-14
47.3789,-2.75515e-05,4.74531e-15
49.4099,-1.25492e-05,7.07397e-16
51.5744,-2.59730e-05,9.27279e-17
53.8728,1.27823e-05,1.09150e-17
56.2001,-8.38721e-06,1.27787e-18
58.5532,8.65881e-06,1.45822e-19
61.0379,-1.06550e-05,1.47368e-20
63.6524,-3.52971e-06,1.31477e-21
66.2857,-9.32163e-06,1.14931e-22
69.0443,-4.02010e-06,8.93133e-24
71.9246,5.06251e-07,6.15847e-25
74.8117,1.09343e-06,4.19735e-26
77.8110,3.46150e-07,2.56458e-27
80.9167,-2.66715e-07,1.40398e-28
84.0124,-7.89651e-08,7.67728e-30
87.2062,7.41675e-08,3.78368e-31
90.4985,2.28049e-07,9.78188e-32
93.7806,-5.99975e-06,8.22706e-32
97.1629,-6.05191e-06,6.62566e-32
100.647,0.000524178,4.97522e-32
104.125,0.000463548,3.32751e-32
107.708,-0.000518838,1.63100e-32
111.398,-Inf,0.00000
115.198,-Inf,0.00000
119.109,-Inf,0.00000
123.137,Inf,0.00000
127.282,Inf,0.00000
131.545,Inf,0.00000
135.929,-Inf,0.00000
140.322,Inf,0.00000
144.836,Inf,0.00000
149.471,Inf,0.00000
154.228,Inf,0.00000
159.218,-Inf,0.00000
164.332,Inf,0.00000
169.570,Inf,0.00000
174.934,-Inf,0.00000
180.424,Inf,0.00000
186.040,Inf,0.00000
191.784,Inf,0.00000
197.770,Inf,0.00000
203.885,-Inf,0.00000
210.130,Inf,0.00000
216.620,-Inf,0.00000
223.243,-Inf,0.00000
229.999,-Inf,0.00000
237.005,Inf,0.00000
244.260,Inf,0.00000
251.653,-Inf,0.00000
259.183,Inf,0.00000
266.968,Inf,0.00000
275.009,-Inf,0.00000
283.190,Inf,0.00000
291.514,Inf,0.00000
300.097,Inf,0.00000
308.942,-Inf,0.00000
318.051,-Inf,0.00000
327.424,-Inf,0.00000
337.064,-Inf,0.00000
346.972,Inf,0.00000
357.150,Inf,0.00000
367.599,Inf,0.00000
378.321,Inf,0.00000
389.317,-Inf,0.00000
400.588,Inf,0.00000
412.135,Inf,0.00000
424.083,Inf,0.00000
436.433,Inf,0.00000
449.064,Inf,0.00000
461.978,Inf,0.00000
475.174,Inf,0.00000
488.779,-Inf,0.00000
502.792,-Inf,0.00000
517.091,-Inf,0.00000
531.802,-Inf,0.00000
546.925,Inf,0.00000
562.461,Inf,0.00000
578.411,-Inf,0.00000
594.774,Inf,0.00000
611.552,-Inf,0.00000
628.743,-Inf,0.00000
646.474,-Inf,0.00000
664.618,Inf,0.00000
683.174,Inf,0.00000
702.267,-Inf,0.00000
721.895,Inf,0.00000
742.057,Inf,0.00000
762.622,Inf,0.00000
783.586,Inf,0.00000
805.073,-Inf,0.00000
827.078,Inf,0.00000
849.596,Inf,0.00000
872.748,-Inf,0.00000
896.528,Inf,0.00000
926.666,-Inf,0.00000
963.511,Inf,0.00000
1491.12,Inf,0.00000
