Energy,Transmission(keV),counts_nonatt_C5(ct / (keV s)),counts_noatt_M1)(ct / (keV s)),counts_attenuated_C5(ct / (keV s)),counts_attenuated_M1(ct / (keV s))
1.005,7.529610150259883e-19,0.1583126074706267,0.3230097657251857,1.1920322161249393e-19,2.432137610637425e-19
1.015,2.0115567988596953e-18,0.1749070432145075,0.3572359521416735,3.518354519465891e-19,7.186004083277e-19
1.025,5.190462708802327e-18,0.1928104088377772,0.3942294088933745,1.0007752369414133e-18,2.0462330455742448e-18
1.035,1.295587013098642e-17,0.2120505599886019,0.4340690884998996,2.7472995164152712e-18,5.6237427384803504e-18
1.045,3.1329286017351257e-17,0.233106405927361,0.4777212131032345,7.303057263775077e-18,1.4966664521867245e-17
1.055,7.349547983060175e-17,0.2561364384506929,0.5255262122661634,1.8824870446035066e-17,3.862380113406034e-17
1.065,1.6748196754135268e-16,0.2812983489097529,0.5778216169325733,4.711240094153934e-17,9.677470129179316e-17
1.075,3.712051949858517e-16,0.3087976439655339,0.6350473174437217,1.146272896393976e-16,2.3573286329693876e-16
1.085,8.011464130363724e-16,0.3387988814356817,0.6975450039536122,2.7142750860293164e-16,5.588356778488786e-16
1.095,1.6855769629392934e-15,0.3707731950111146,0.7640787937781619,6.249667559861329e-16,1.2879136126629128e-15
1.105,3.460878831319175e-15,0.4051516243345543,0.8355599127907042,1.4021806801340378e-15,2.8917716144762442e-15
1.115,6.941675668740521e-15,0.4423164518463282,0.9130235493014734,3.0704173516652944e-15,6.33791335717315e-15
1.125,1.3614430104737418e-14,0.4831202620251822,0.9980965784017556,6.5774070395242706e-15,1.3588516104428272e-14
1.135,2.613294316131015e-14,0.5271975383088374,1.090155481438689,1.3777223303407479e-14,2.848897123342796e-14
1.145,4.9136921373061856e-14,0.5783410558726938,1.195892780774509,2.841789898923013e-14,5.876248953952934e-14
1.155,9.057681683368244e-14,0.6430682300911281,1.32704935065954,5.824707328852447e-14,1.2019990596394637e-13
1.165,1.6381629767401847e-13,0.7000689913370439,1.446013551448973,1.1468271027721905e-13,2.3688058638482955e-13
1.175,2.909063740545526e-13,0.7615072331896028,1.574328399205567,2.21527308023502e-13,4.579821661839997e-13
1.185,5.075924831071624e-13,0.8267821380939849,1.710632815473899,4.196683984637747e-13,8.683043584909928e-13
1.195,8.708395136530077e-13,0.8965243746930253,1.856317293366377,7.807288504357409e-13,1.6165544489408432e-12
1.205,1.4699531864265959e-12,0.9714219210157068,2.012855924538885,1.4279447481616832e-12,2.9588039800935857e-12
1.215,2.4427540554442146e-12,1.051268223006722,2.179918002231412,2.5679897151093034e-12,5.3250035404866326e-12
1.225,3.998738178180519e-12,1.136422796114095,2.358205157885975,4.544257221376088e-12,9.429844996820866e-12
1.235,6.451751975581329e-12,1.227098323816924,2.548151653446206,7.916934034918376e-12,1.6440042464202388e-11
1.245,1.0265433175973375e-11,1.323999193834959,2.751284300798271,1.3591425249355391e-11,2.824312513794928e-11
1.255,1.6115538715720546e-11,1.428489812026837,2.970223922999208,2.3020882870730858e-11,4.78667586254531e-11
1.265,2.4974305180586742e-11,1.548635023346741,3.219554254304348,3.8676083686406586e-11,8.040613049245316e-11
1.275,3.8223175206337343e-11,1.669049428042976,3.472320034045469,6.379636871612381e-11,1.3272309703379522e-10
1.285,5.780157669668924e-11,1.796578855591625,3.74007044852614,1.0384509051312949e-10,2.161819688815046e-10
1.295,8.640095721048878e-11,1.932827006493623,4.026156381882827,1.6699810348333266e-10,3.4786376527379445e-10
1.305,1.2771494283950466e-10,2.077489006227708,4.330122748747796,2.653263896800711e-10,5.530213793443635e-10
1.315,1.8675829094425817e-10,2.236124670648477,4.6620388578733,4.1761482182860174e-10,8.706744094121389e-10
1.325,2.702692124984094e-10,2.39983673849294,5.006455519230737,6.486019854372381e-10,1.3530907905908067e-09
1.335,3.87211617246392e-10,2.57348524382332,5.372205895186237,9.96483383220553e-10,2.080180532855664e-09
1.345,5.49395839802455e-10,2.870813429250009,5.992706345743635,1.5772129548789742e-09,3.292367935509325e-09
1.355,7.72238385869701e-10,3.098485966604843,6.471201977147786,2.392769801490844e-09,4.997310569469424e-09
1.365,1.075683136852696e-09,3.320165194598705,6.93846410752971,3.5714457113950767e-09,7.4635888361274e-09
1.375,1.4853082048451302e-09,3.555929984098082,7.435785858865264,5.2816519812356945e-09,1.104443374564397e-08
1.385,2.033644171247994e-09,3.80712075070266,7.965877690876816,7.742328923903751e-09,1.6199760734926068e-08
