,Windt Energy [keV],S08 Windt EA [cm^2],S09 Windt EA [cm^2],S10 Windt EA [cm^2],S08+S09+S10 EA [cm^2]
0,1.0,2.2811833346365518,2.078083925313272,1.8045893947387985,6.163856654688622
1,1.03808,2.280624214548463,2.077626441743353,1.8042738173466188,6.162524473638435
2,1.0761500000000002,2.2799561749626944,2.0770765816833543,1.8038859993465906,6.16091875599264
3,1.11423,2.279087239414539,2.076352965844396,1.803361304405376,6.158801509664311
4,1.1522999999999999,2.278046453103378,2.075477588628878,1.8027168421406234,6.156240883872879
5,1.1903800000000002,2.276858020362029,2.07447684331968,1.8019716232386085,6.153306486920317
6,1.22846,2.275541304656746,2.073363926558242,1.8011389551797246,6.150044186394713
7,1.26653,2.2741786007191096,2.072211419872485,1.8002777710914268,6.146667791683021
8,1.3046099999999998,2.272750545082865,2.0710017277404873,1.799370961356067,6.143123234179418
9,1.3426900000000002,2.271160320416742,2.0696534708733703,1.7983557907089343,6.139169581999047
10,1.38076,2.2694176084538675,2.0681732475918535,1.797234160218657,6.134825016264378
11,1.4188399999999999,2.2675030457279877,2.066543462374017,1.7959965645420963,6.130043072644101
12,1.4569100000000001,2.265426313972229,2.064770713540581,1.7946449047478807,6.124841932260691
13,1.49499,2.263214037952691,2.0628813943744246,1.7932038947281683,6.119299327055283
14,1.53307,2.2608395929032747,2.060851311032909,1.791650721659428,6.113341625595612
15,1.5711400000000002,2.2582400475586533,2.058625477510034,1.7899416609632257,6.106807186031913
16,1.60922,2.255369413686474,2.0561621044412397,1.7880424934042642,6.099574011531978
17,1.64729,2.2522034869539187,2.0534435963046054,1.7859418125707784,6.091588895829302
18,1.6853699999999998,2.2486478704629986,2.050384174930772,1.7835673778549201,6.082599423248691
19,1.7234500000000001,2.244704984646995,2.046983840319739,1.7809229913939437,6.072611816360677
20,1.76152,2.240256228275102,2.0431436176607076,1.7779269072368635,6.061326753172673
21,1.7995999999999999,2.2350934440850865,2.038678753973517,1.7744289409621,6.048201139020703
22,1.83768,2.2289407026828267,2.033347310831769,1.770238985706894,6.032526999221489
23,1.87575,2.2210718740837923,2.0265136500061036,1.7648437529417966,6.012429277031693
24,1.91383,2.2105841366738828,2.017385973010123,1.7576044836079379,5.985574593291943
25,1.9519000000000002,2.1953015209327864,2.004055165715512,1.7469908174601088,5.946347504108408
26,1.98998,2.168461336271238,1.9805915372352427,1.7282291711744335,5.877282044680914
27,2.02806,2.008923317369928,1.8406279581229048,1.6155471304113544,5.465098405904188
28,2.0661300000000002,1.8585103319408907,1.7079115346013516,1.5075721355701857,5.073994002112428
29,2.10421,1.732722834720582,1.5968068108779916,1.4169805122596901,4.746510157858264
30,2.1422800000000004,1.8624580586234576,1.7114350378658238,1.510507385531183,5.084400482020465
31,2.1803600000000003,1.9211099979073099,1.763249451039632,1.55276433898523,5.2371237879321715
32,2.21844,1.9475774358434657,1.7866470963127015,1.571873880829754,5.306098412985921
33,2.25651,1.9644817418833478,1.8016120877056292,1.584124367065937,5.350218196654914
34,2.2945900000000004,1.976341864964021,1.8121276114930465,1.5927609218410737,5.3812303982981415
35,2.3326700000000002,1.9849489257139954,1.8197794640879899,1.5990743707532964,5.403802760555282
36,2.3707399999999996,1.9911888027143987,1.8253484467756578,1.6036977696555927,5.420235019145649
37,2.40882,1.9954874922228223,1.8292062649566094,1.6069371905970042,5.431630947776436
38,2.44689,1.9978837211717746,1.8313903091149248,1.6088230506755725,5.4380970809622715
39,2.4849699999999997,1.9978304716395756,1.831418901838045,1.6089618286853866,5.438211202163007
40,2.52305,1.9913025630786418,1.8257531437798171,1.6044905152732973,5.421546222131756
41,2.56112,1.9254934025805954,1.767824286738822,1.5575721415444024,5.250889830863819
42,2.5991999999999997,1.9725272621119514,1.8093475190296926,1.591394053497837,5.373268834639481
