# Original file: FOXSI4_Effective_Areas_2023Oct26-removedComma.txt
# Areas scaled by 1/0.92 to correct for "finite source distance"
# [Effective areas as measured at SLTF at 104m finite source distance to X-ray node]
# SDD detector areas of 4.0mm radius were used for the effective area calculations
# Energy[keV] FM1[cm2] FM2[cm2] FM3[cm2] 
1.000000000000000056e-01 nan nan nan
2.500000000000000000e-01 nan nan nan
4.000000000000000222e-01 1.706521739130434812e+00 1.978260869565217295e+00 1.467391304347826164e+00
5.600000000000000533e-01 2.086956521739130377e+00 1.847826086956521507e+00 1.336956521739130377e+00
7.099999999999999645e-01 1.630434782608695565e+00 1.934782608695652106e+00 1.260869565217391131e+00
8.699999999999999956e-01 1.750000000000000000e+00 1.815217391304347672e+00 1.402173913043478271e+00
1.020000000000000018e+00 1.347826086956521729e+00 1.847826086956521507e+00 1.304347826086956319e+00
1.169999999999999929e+00 1.717391304347826164e+00 1.847826086956521507e+00 1.706521739130434812e+00
1.330000000000000071e+00 1.728260869565217295e+00 1.891304347826086918e+00 1.652173913043478271e+00
1.479999999999999982e+00 1.434782608695652106e+00 1.119565217391304213e+00 1.119565217391304213e+00
1.629999999999999893e+00 2.249999999999999556e+00 1.902173913043478048e+00 9.891304347826086474e-01
1.790000000000000036e+00 2.032608695652173836e+00 2.086956521739130377e+00 2.184782608695651884e+00
1.939999999999999947e+00 2.467391304347826164e+00 2.510869565217391131e+00 2.967391304347825720e+00
2.100000000000000089e+00 2.391304347826086918e+00 2.673913043478260754e+00 2.391304347826086918e+00
2.250000000000000000e+00 2.608695652173912638e+00 3.217391304347825720e+00 3.369565217391304213e+00
2.399999999999999911e+00 2.826086956521739246e+00 3.315217391304347672e+00 4.695652173913043903e+00
2.560000000000000053e+00 3.347826086956521507e+00 2.978260869565217295e+00 2.423913043478260754e+00
2.709999999999999964e+00 2.858695652173912638e+00 3.293478260869564966e+00 2.956521739130435034e+00
2.859999999999999876e+00 3.978260869565217295e+00 3.347826086956521507e+00 3.206521739130434590e+00
3.020000000000000018e+00 2.695652173913043459e+00 2.934782608695652328e+00 2.847826086956521507e+00
3.169999999999999929e+00 3.402173913043478048e+00 2.999999999999999556e+00 3.086956521739129933e+00
3.330000000000000071e+00 3.184782608695652328e+00 3.173913043478260754e+00 2.695652173913043459e+00
3.479999999999999982e+00 3.152173913043478048e+00 3.750000000000000000e+00 2.369565217391304213e+00
3.629999999999999893e+00 3.554347826086956541e+00 3.108695652173912638e+00 3.043478260869564966e+00
3.790000000000000036e+00 3.108695652173912638e+00 3.586956521739129933e+00 2.978260869565217295e+00
3.939999999999999947e+00 3.173913043478260754e+00 3.500000000000000000e+00 3.260869565217391131e+00
4.089999999999999858e+00 3.347826086956521507e+00 3.173913043478260754e+00 2.847826086956521507e+00
4.250000000000000000e+00 3.402173913043478048e+00 3.478260869565217295e+00 2.771739130434782261e+00
4.400000000000000355e+00 2.999999999999999556e+00 3.304347826086956541e+00 2.619565217391304213e+00
4.549999999999999822e+00 3.782608695652173836e+00 3.130434782608695343e+00 3.315217391304347672e+00
4.709999999999999964e+00 3.586956521739129933e+00 3.673913043478260754e+00 3.130434782608695343e+00
4.860000000000000320e+00 3.293478260869564966e+00 3.380434782608695343e+00 2.739130434782608425e+00
5.019999999999999574e+00 3.891304347826086918e+00 3.456521739130434590e+00 3.489130434782608425e+00
5.169999999999999929e+00 3.521739130434782705e+00 3.478260869565217295e+00 3.108695652173912638e+00
5.320000000000000284e+00 3.521739130434782705e+00 3.315217391304347672e+00 2.945652173913043459e+00
5.480000000000000426e+00 3.543478260869564966e+00 3.380434782608695343e+00 2.923913043478260754e+00
5.629999999999999893e+00 3.619565217391304213e+00 3.369565217391304213e+00 3.097826086956521507e+00
5.780000000000000249e+00 3.521739130434782705e+00 3.510869565217391131e+00 2.999999999999999556e+00
