#energy[keV] #eff-area[mm^2] #error_eff-area[mm^2]
0.1 5.34E-12 1.50E-13
0.2 9.97E-03 2.85E-04
0.3 4.64E-10 1.32E-11
0.4 6.94E-05 1.95E-06
0.5 5.48E-03 1.58E-04
0.6 1.12E-02 3.18E-04
0.7 1.27E-01 3.58E-03
0.8 5.66E-01 1.62E-02
0.9 1.30E+00 3.99E-02
1 2.56E+00 7.79E-02
1.1 4.22E+00 1.28E-01
1.2 6.25E+00 1.85E-01
1.3 8.01E+00 2.33E-01
1.4 9.97E+00 2.86E-01
1.5 1.10E+01 3.22E-01
1.6 1.07E+01 3.09E-01
1.7 1.25E+01 3.58E-01
1.8 1.26E+01 3.74E-01
1.9 1.41E+01 4.07E-01
2 1.48E+01 4.27E-01
2.1 1.57E+01 4.55E-01
2.2 1.63E+01 4.71E-01
2.3 1.73E+01 4.93E-01
2.4 1.76E+01 5.04E-01
2.5 1.72E+01 5.04E-01
2.6 1.80E+01 5.21E-01
2.7 1.86E+01 5.37E-01
2.8 1.85E+01 5.37E-01
2.9 1.96E+01 5.62E-01
3 1.94E+01 5.57E-01
3.1 2.09E+01 5.91E-01
3.2 1.93E+01 5.63E-01
3.3 2.06E+01 5.88E-01
3.4 2.01E+01 5.74E-01
3.5 2.07E+01 5.94E-01
3.6 1.96E+01 5.73E-01
3.7 2.02E+01 5.88E-01
3.8 2.15E+01 6.12E-01
3.9 2.16E+01 6.13E-01
4 2.05E+01 5.97E-01
4.1 2.05E+01 5.97E-01
4.2 2.09E+01 6.02E-01
4.3 2.07E+01 5.96E-01
4.4 2.15E+01 6.15E-01
4.5 2.07E+01 5.98E-01
4.6 2.20E+01 6.26E-01
4.7 2.22E+01 6.32E-01
4.8 2.11E+01 6.10E-01
4.9 2.21E+01 6.29E-01
5 2.20E+01 6.24E-01
5.1 2.10E+01 6.06E-01
5.2 2.21E+01 6.29E-01
5.3 2.17E+01 6.18E-01
5.4 2.23E+01 6.38E-01
5.5 2.12E+01 6.06E-01
5.6 2.28E+01 6.42E-01
5.7 2.16E+01 6.25E-01
5.8 2.26E+01 6.38E-01
5.9 2.27E+01 6.45E-01
6 2.13E+01 6.22E-01
6.1 2.20E+01 6.27E-01
6.2 2.20E+01 6.24E-01
6.3 2.24E+01 6.35E-01
6.4 2.28E+01 6.39E-01
6.5 2.27E+01 6.42E-01
6.6 2.13E+01 6.21E-01
6.7 2.26E+01 6.33E-01
6.8 2.23E+01 6.37E-01
6.9 2.15E+01 6.21E-01
7 2.23E+01 6.26E-01
7.1 2.23E+01 6.30E-01
7.2 2.29E+01 6.47E-01
7.3 2.12E+01 6.21E-01
7.4 2.21E+01 6.31E-01
7.5 2.38E+01 6.65E-01
7.6 2.27E+01 6.42E-01
7.7 2.23E+01 6.33E-01
7.8 2.24E+01 6.37E-01
7.9 2.24E+01 6.42E-01
8 2.27E+01 6.43E-01
8.1 2.18E+01 6.22E-01
8.2 2.19E+01 6.24E-01
8.3 2.31E+01 6.49E-01
8.4 1.35E+01 4.75E-01
8.5 1.42E+01 4.90E-01
8.6 1.62E+01 5.32E-01
8.7 1.56E+01 5.11E-01
8.8 1.60E+01 5.22E-01
8.9 1.58E+01 5.20E-01
9 1.58E+01 5.16E-01
9.1 1.64E+01 5.32E-01
9.2 1.67E+01 5.38E-01
9.3 1.64E+01 5.37E-01
9.4 1.60E+01 5.24E-01
9.5 1.65E+01 5.34E-01
9.6 1.65E+01 5.31E-01
9.7 1.65E+01 5.36E-01
9.8 1.55E+01 5.12E-01
9.9 1.65E+01 5.33E-01
10 1.58E+01 5.21E-01
10.5 1.63E+01 5.28E-01
11 1.61E+01 5.24E-01
11.5 1.69E+01 5.43E-01
12 1.65E+01 5.36E-01
12.5 1.66E+01 5.41E-01
13 1.60E+01 5.26E-01
13.5 1.57E+01 5.19E-01
14 1.49E+01 5.06E-01
14.5 1.44E+01 4.97E-01
15 1.19E+01 4.39E-01
15.5 9.54E+00 3.94E-01
16 5.15E+00 2.82E-01
16.5 2.24E+00 1.83E-01
17 1.13E+00 1.31E-01
17.5 6.31E-01 9.63E-02
18 4.01E-01 7.72E-02
18.5 2.44E-01 6.07E-02
19 1.69E-01 5.03E-02
19.5 1.13E-01 4.07E-02
20 8.25E-02 3.47E-02
20.5 5.91E-02 2.97E-02
21 4.36E-02 2.53E-02
21.5 3.13E-02 2.14E-02
22 2.39E-02 1.87E-02
22.5 1.98E-02 1.70E-02
23 1.50E-02 1.48E-02
23.5 1.15E-02 1.30E-02
24 9.52E-03 1.20E-02
24.5 7.79E-03 1.08E-02
25 6.18E-03 9.59E-03
25.5 4.93E-03 8.52E-03
26 4.15E-03 7.84E-03
26.5 3.32E-03 7.05E-03
27 2.79E-03 6.38E-03
27.5 2.39E-03 6.03E-03
28 2.00E-03 5.46E-03
28.5 1.67E-03 5.04E-03
29 1.42E-03 4.59E-03
29.5 1.19E-03 4.20E-03
30 1.02E-03 3.88E-03
