energy[keV],transmission,transmission_lb,transmission_ub
1.00000,0.00000,0.00000,0.00000
1.10000,1.13351e-41,1.02295e-43,1.26383e-39
1.20000,6.35270e-33,1.55995e-34,2.58709e-31
1.30000,1.33574e-26,6.79224e-28,2.62687e-25
1.40000,6.69081e-22,5.84460e-23,7.65959e-21
1.50000,2.88710e-18,3.83254e-19,2.17490e-17
1.60000,0.00000,0.00000,0.00000
1.70000,0.00000,0.00000,0.00000
1.80000,0.00000,0.00000,0.00000
1.90000,0.00000,0.00000,0.00000
2.00000,0.00000,0.00000,0.00000
2.10000,0.00000,0.00000,0.00000
2.20000,0.00000,0.00000,0.00000
2.30000,0.00000,0.00000,0.00000
2.40000,0.00000,0.00000,0.00000
2.50000,0.00000,0.00000,0.00000
2.60000,0.00000,0.00000,0.00000
2.70000,0.00000,0.00000,8.40779e-45
2.80000,9.05239e-43,7.00649e-45,1.14539e-40
2.90000,5.89327e-39,7.22566e-41,4.80661e-37
3.00000,1.42734e-35,2.58379e-37,7.88500e-34
3.10000,1.41156e-32,3.60735e-34,5.52349e-31
3.20000,6.48530e-30,2.25181e-31,1.86782e-28
3.30000,1.53805e-27,7.01975e-29,3.36994e-26
3.40000,2.05526e-25,1.19816e-26,3.52553e-24
3.50000,1.66657e-23,1.21037e-24,2.29474e-22
3.60000,8.72542e-22,7.72375e-23,9.85708e-21
3.70000,3.10834e-20,3.28970e-21,2.93699e-19
3.80000,7.87451e-19,9.79572e-20,6.33013e-18
3.90000,1.47506e-17,2.12448e-18,1.02417e-16
4.00000,2.11329e-16,3.47702e-17,1.28443e-15
4.10000,2.38256e-15,4.42485e-16,1.28290e-14
4.20000,2.16613e-14,4.49230e-15,1.04448e-13
4.30000,1.64753e-13,3.78162e-14,7.17784e-13
4.40000,1.06199e-12,2.67564e-13,4.21516e-12
4.50000,5.85149e-12,1.60557e-12,2.13257e-11
4.60000,2.79579e-11,8.29528e-12,9.42280e-11
4.70000,1.17313e-10,3.73952e-11,3.68027e-10
4.80000,4.48792e-10,1.52985e-10,1.31657e-09
4.90000,1.54103e-09,5.58730e-10,4.25031e-09
5.00000,4.79224e-09,1.83894e-09,1.24885e-08
5.10000,1.37579e-08,5.56518e-09,3.40114e-08
5.20000,3.68618e-08,1.56641e-08,8.67458e-08
5.30000,9.14001e-08,4.06438e-08,2.05541e-07
5.40000,2.12858e-07,9.87406e-08,4.58866e-07
5.50000,4.71191e-07,2.27435e-07,9.76198e-07
5.60000,9.80557e-07,4.90961e-07,1.95839e-06
5.70000,1.95366e-06,1.01249e-06,3.76970e-06
5.80000,3.72315e-06,1.99277e-06,6.95609e-06
